title,number of ratings
$9.99,3
'Neath the Arizona Skies,1
"'night, Mother",3
(500) Days of Summer,45
...And God Created Woman,1
...And Justice for All,13
1-900,1
10,5
10 Attitudes,1
10 Cloverfield Lane,5
10 Items or Less,1
10 Things I Hate About You,57
10 Years,1
"10,000 BC",8
100 Girls,2
100 Rifles,1
101 Dalmatians,37
101 Reykjavik,1
102 Dalmatians,11
11'09''01 - September 11,1
11:14,2
12 Angry Men,78
12 Years a Slave,12
127 Hours,23
12:08 East of Bucharest,1
13 Assassins,5
13 Ghosts,4
13 Going on 30,17
13 Tzameti,3
1408,7
15 Minutes,8
16 Blocks,9
16 Wishes,1
17 Again,11
18 Again!,1
1941,4
1984,1
1990: The Bronx Warriors,1
2 Days in New York,1
2 Days in the Valley,16
2 Fast 2 Furious,12
2 Guns,3
2 or 3 Things I Know About Her,1
20 Dates,5
20 Feet from Stardom,1
"20,000 Leagues Under the Sea",38
200 Cigarettes,7
200 Motels,1
2001: A Space Odyssey,123
2010,15
2012,17
2046,4
21,18
21 Grams,30
21 Jump Street,14
21 Up,5
22 Jump Street,8
23,1
24 Hour Party People,5
24: Redemption,2
25 Watts,1
25th Hour,27
27 Dresses,16
28 Days,24
28 Days Later,52
28 Up,4
28 Weeks Later,14
29th and Gay,1
3 Idiots,4
3 Ninjas,1
3 Ninjas Kick Back,2
3 Ninjas Knuckle Up,2
3 Ninjas: High Noon at Mega Mountain,2
3 Women,1
3-Day Weekend,1
3-Iron,3
30 Days of Night,7
30 Minutes or Less,6
30 YEARS TO LIFE,1
300,59
3000 Miles to Graceland,4
300: Rise of an Empire,5
35 Up,4
3:10 to Yuma,23
4 Little Girls,5
"4 Months, 3 Weeks and 2 Days",4
4 for Texas,1
40 Days and 40 Nights,13
42,3
42 Up,9
42nd Street,2
45 Years,1
47 Ronin,3
48 Hrs.,16
49 Up,4
49th Parallel,1
5 Centimeters per Second,2
50 First Dates,29
50/50,13
52 Pick-Up,4
54,15
56 Up,2
61*,2
7 Days in Hell,1
7 Plus Seven,3
71 Fragments of a Chronology of Chance,1
8 Heads in a Duffel Bag,6
8 Mile,24
8 Seconds,1
8 Women,2
8 ½ Women,3
84 Charing Cross Road,2
88 Minutes,2
8MM,18
8½,20
9,8
96 Minutes,1
99 Homes,1
A Beautiful Mind,114
A Better Tomorrow,2
A Boy and His Dog,2
A Bridge Too Far,7
A Brief History of Time,2
A Bronx Tale,23
A Bug's Life,105
A Charlie Brown Christmas,4
A Chinese Ghost Story,2
A Chinese Ghost Story II,1
A Chorus Line,5
A Christmas Carol,12
A Christmas Story,75
A Cinderella Story,4
A Civil Action,19
A Clockwork Orange,121
A Close Shave,62
A Coffee in Berlin,1
"A Cool, Dry Place",2
A Cry in the Dark,2
A Damsel in Distress,1
A Dangerous Method,1
A Day at the Races,7
A Deadly Adoption,1
A Decade Under the Influence,3
A Dirty Shame,1
A Dog's Life,2
A Dog's Will,2
A Double Life,1
A Face in the Crowd,4
A Family Thing,7
A Fantastic Fear of Everything,1
A Far Off Place,5
A Farewell to Arms,4
A Few Good Men,76
A Fish Called Wanda,89
A Fistful of Dollars,19
"A Fragile Trust: Plagiarism, Power, and Jayson Blair at the New York Times",1
A Friend of Mine,1
A Funny Thing Happened on the Way to the Forum,4
A Girl Walks Home Alone at Night,1
A Good Day to Die Hard,4
A Goofy Movie,15
A Grand Day Out,39
A Guide To Recognizing Your Saints,1
A Guy Thing,1
A Hard Day's Night,30
A History of Violence,20
A Home at the End of the World,2
A Kid in King Arthur's Court,11
A King in New York,2
A Kiss Before Dying,1
A Knight's Tale,28
A League of Ordinary Gentlemen,1
A League of Their Own,57
A Letter to Elia,2
A Letter to Three Wives,2
A Life Less Ordinary,8
A Little Princess,20
A Little Romance,2
A Lot Like Love,2
A Love Song for Bobby Long,1
A Low Down Dirty Shame,3
A Man Escaped,1
A Man and a Woman,3
A Man for All Seasons,10
A Map of the World,4
A Matter of Loaf and Death,4
A Midnight Clear,2
A Midsummer Night's Dream,21
A Midsummer Night's Sex Comedy,1
A Midwinter's Tale,1
A Mighty Wind,21
A Million Ways to Die in the West,3
A Month by the Lake,5
A Month in the Country,1
A Most Violent Year,1
A Most Wanted Man,2
A Night at the Opera,11
A Night at the Roxbury,8
A Night in the Life of Jimmy Reardon,1
A Night to Remember,8
A Nightmare on Elm Street,33
A Nightmare on Elm Street 3: Dream Warriors,5
A Nightmare on Elm Street 4: The Dream Master,3
A Nightmare on Elm Street 5: The Dream Child,5
A Nightmare on Elm Street Part 2: Freddy's Revenge,8
A Passage to India,2
A Patch of Blue,3
A Perfect Candidate,2
A Perfect Murder,23
A Perfect World,17
A Personal Journey with Martin Scorsese Through American Movies,1
A Place in the Sun,4
A Prairie Home Companion,4
A Prophet,6
A Pyromaniac's Love Story,4
A Raisin in the Sun,10
A River Runs Through It,28
A Room with a View,31
A Royal Affair,2
A Scanner Darkly,14
A Separation,5
A Serbian Film,2
A Serious Man,13
A Shock to the System,1
A Short Film About Killing,3
A Shot in the Dark,5
A Simple Plan,31
A Simple Twist of Fate,4
A Simple Wish,2
A Single Man,3
A Small Circle of Friends,1
A Smile Like Yours,1
A Soldier's Daughter Never Cries,2
A Soldier's Story,6
A Song to Remember,1
A Star Is Born,3
A Stranger Among Us,1
A Streetcar Named Desire,40
A Summer Place,1
A Swedish Love Story,1
A Tale of Springtime,1
A Tale of Two Sisters,3
A Thin Line Between Love and Hate,1
A Thousand Acres,1
A Thousand Clowns,1
A Thousand Words,1
A Time to Kill,49
A Trip to the Moon,6
A Troll in Central Park,1
A Very Brady Sequel,14
A Very Harold & Kumar Christmas,1
A Very Long Engagement,11
A Very Murray Christmas,1
A View to a Kill,19
A Walk in the Clouds,28
A Walk in the Sun,1
A Walk on the Moon,5
A Walk to Remember,10
A Wedding,1
A Woman Under the Influence,2
A Zed & Two Noughts,4
A-Haunting We Will Go,1
A.I. Artificial Intelligence,55
A.R.O.G.,1
AVP: Alien vs. Predator,18
Abandon,1
Abbott and Costello Meet Frankenstein,5
Abbott and Costello Meet the Invisible Man,1
Abbott and Costello Meet the Mummy,3
Abduction,1
Abel,1
About Elly,3
About Last Night,1
About Last Night...,17
About Schmidt,34
About Time,15
About a Boy,52
Above the Law,1
Above the Rim,1
Abraham Lincoln: Vampire Hunter,2
Absence of Malice,5
Absent,1
Absolute Power,20
Accattone,1
Accepted,11
Ace Ventura: Pet Detective,175
Ace Ventura: When Nature Calls,92
Ace in the Hole,7
Across the Line: The Exodus of Charlie Wright,1
Across the Sea of Time,2
Across the Universe,5
Action Jackson,1
Adam,2
Adam's Apples,2
Adam's Rib,6
Adaptation.,42
Addams Family Reunion,2
Addams Family Values,73
Addicted to Love,16
Admission,3
Adventureland,14
Adventures in Babysitting,22
Ae Fond Kiss...,1
Affliction,10
Africa Screams,1
Africa: The Serengeti,2
African Cats,1
Afro Samurai,1
Afro Samurai: Resurrection,2
After Earth,5
After Hours,8
After Life,3
After the Sunset,3
After the Thin Man,3
After the Wedding,1
Afterglow,1
Aftermath,1
Against All Odds,4
Against the Ropes,1
Agent Cody Banks,1
Agnes of God,10
Agora,1
Aguirre: The Wrath of God,9
Ai Weiwei: Never Sorry,1
Aileen: Life and Death of a Serial Killer,3
Aimee & Jaguar,2
Air America,9
Air Bud,7
Air Bud: Golden Receiver,2
Air Force One,70
Airheads,26
Airplane II: The Sequel,25
Airplane!,106
Airport,15
Airport '77,11
Airport 1975,9
Akeelah and the Bee,3
Akira,34
Aladdin,215
Aladdin and the King of Thieves,14
Alan Partridge: Alpha Papa,1
Alaska,2
Alaska: Spirit of the Wild,1
Albatross,1
Albert Nobbs,1
Albino Alligator,4
Alex & Emma,2
Alex Cross,2
Alexander,2
Alfie,10
Ali,6
Ali G Indahouse,6
Ali: Fear Eats the Soul,1
Alice,2
Alice Doesn't Live Here Anymore,5
Alice Sweet Alice,2
Alice in Wonderland,70
Alice in the Cities,1
Alice's Restaurant,1
Alien,127
Alien Escape,1
Alien Nation,16
Alien: Resurrection,45
Aliens,125
Aliens in the Attic,1
Aliens vs Predator: Requiem,4
Alien³,55
Alive,12
Alive and Kicking,4
All About Eve,38
All About My Mother,20
All About the Benjamins,3
All Dogs Go to Heaven,10
All Dogs Go to Heaven 2,10
All Good Things,2
All I Want For Christmas,2
All Is Bright,1
All Is Lost,2
All Over the Guy,3
All Quiet on the Western Front,14
All Star Superman,1
All That Jazz,20
All Tomorrow's Parties,1
All of Me,6
All or Nothing,1
All the King's Men,6
All the President's Men,20
All the Pretty Horses,4
All the Real Girls,1
All the Right Moves,1
All the Vermeers in New York,1
Allan Quatermain and the Lost City of Gold,5
Alligator,5
Almost Famous,99
Almost Heroes,6
Almost Normal,1
Aloha,1
Alone in the Dark,1
Along Came Polly,13
Along Came a Spider,17
Alpha Dog,1
Alphaville,6
Altered States,5
Alvin and the Chipmunks,3
Alvin and the Chipmunks: The Squeakquel,2
Always,8
Amadeus,100
Amarcord,6
Amateur,6
Amazing Grace,1
Amazon Women on the Moon,1
Ambush,2
Amelia,1
America America,1
America's Sweethearts,14
American Beauty,220
American Buffalo,9
American Dream,1
American Flyers,1
American Gangster,22
American Gigolo,11
American Graffiti,38
American Heart,1
American Heist,1
American History X,107
American Hustle,16
American Mary,2
American Me,1
American Movie,14
American Ninja,1
American Ninja 2: The Confrontation,2
American Ninja 3: Blood Hunt,1
American Outlaws,2
American Pie,111
American Pie 2,39
American Pie Presents: Band Camp,5
American Pie Presents: Beta House,2
American Pie Presents: The Book of Love,3
American Pie Presents: The Naked Mile,3
American Pimp,2
American Pop,4
American Psycho,51
American Reunion,3
American Sniper,9
American Splendor,17
American Teen,3
American Ultra,3
American Wedding,10
American: The Bill Hicks Story,1
Amistad,25
Amityville 3-D,4
Amityville II: The Possession,3
Amityville: A New Generation,1
Amityville: Dollhouse,1
Amityville: It's About Time,2
Among Giants,1
Amores perros,30
Amos & Andrew,4
Amour,3
Amy,3
Amélie,125
An Affair of Love,2
An Affair to Remember,16
An American Crime,2
An American Rhapsody,2
An American Tail,26
An American Tail: Fievel Goes West,12
An American Werewolf in London,38
An American Werewolf in Paris,9
An American in Paris,22
An Angel Named Billy,1
An Angel at My Table,1
An Awfully Big Adventure,1
An Education,6
An Evening with Kevin Smith,1
An Extremely Goofy Movie,1
An Ideal Husband,20
An Inconvenient Truth,19
An Innocent Man,1
An Occurrence at Owl Creek Bridge,1
An Officer and a Gentleman,11
An Unfinished Life,2
An Unmarried Woman,1
An Unreasonable Man,1
Anaconda,28
Anacondas: The Hunt for the Blood Orchid,2
Analyze That,9
Analyze This,51
Anastasia,25
Anatomy,2
Anatomy of a Murder,15
Anchorman 2: The Legend Continues,9
Anchorman: The Legend of Ron Burgundy,34
Anchors Aweigh,4
And God Created Woman,2
And Now for Something Completely Different,22
And So It Goes,1
And Then There Were None,5
And the Band Played On,8
And the Ship Sails On,1
Andre,2
Andrei Rublev,1
Angel Baby,1
Angel Eyes,3
Angel Heart,14
Angel and the Badman,2
Angel on My Shoulder,2
Angela,1
Angela's Ashes,11
Angels & Demons,15
Angels and Insects,16
Angels in America,5
Angels in the Outfield,14
Angels with Dirty Faces,4
Anger Management,23
Angie,2
Angst,1
Angus,7
"Angus, Thongs and Perfect Snogging",1
Animal Crackers,6
Animal House,59
Animal Kingdom,2
Animals Are Beautiful People,1
Anna Karenina,2
Anna and the King,11
Anna and the King of Siam,1
Annapolis,1
Anne Frank Remembered,6
Anne of Green Gables,4
Anne of Green Gables: The Sequel,2
Anne of the Thousand Days,4
Annie,13
Annie Hall,80
Anomalisa,1
Another 48 Hrs.,4
Another Day in Paradise,4
Another Earth,3
Another Stakeout,12
Another Thin Man,3
Another Year,2
Ant-Man,17
Antichrist,5
Antitrust,8
Antonia's Line,10
Antonio das Mortes,1
Antwone Fisher,8
Antz,53
Anvil! The Story of Anvil,4
Any Given Sunday,25
Any Which Way You Can,3
Anywhere But Here,11
Apache,1
Aparajito,2
Apocalypse Now,112
Apocalypto,8
Apollo 13,200
Apollo 13: To the Edge and Back,1
Appleseed,1
Appointment with Death,1
Approaching the Unknown,1
April Fool's Day,7
April Love,1
Apt Pupil,4
Aqua Teen Hunger Force Colon Movie Film for Theaters,2
Aquamarine,2
Arabian Nights,1
Arachnophobia,62
Are We There Yet?,2
Argo,19
Aria,1
Ariel,1
Arizona Dream,1
Arlington Road,36
Armageddon,113
Armed and Dangerous,5
Armored,1
Armour of God,1
Armour of God II: Operation Condor,5
Army of Darkness,52
Army of Shadows,1
Around the World in 80 Days,3
Around the World in Eighty Days,21
Arranged,2
Arsenic and Old Lace,37
Art School Confidential,2
Arthur,21
Arthur 2: On the Rocks,1
Arthur Christmas,1
Arthur and the Invisibles,1
Artists and Models,1
"As Above, So Below",1
As Good as It Gets,99
As It Is in Heaven,1
As We Were Dreaming,1
Ashby,1
Ashes and Diamonds,1
Ashes of Time,1
Asoka,1
Aspen,1
Assassins,22
Assault on Precinct 13,8
Asterix & Obelix Take on Caesar,1
Asterix and the Vikings,1
Asterix the Gaul,1
Astro Boy,4
Asylum,1
At Close Range,2
At First Sight,4
At Middleton,1
At War with the Army,1
At the Circus,2
Atanarjuat: The Fast Runner,5
Atlantic City,12
Atlantis: The Lost Empire,6
Atonement,9
Atrocious,1
Attack of the Giant Leeches,2
Attack of the Killer Tomatoes!,9
Attack the Block,3
Au Hasard Balthazar,1
Au Revoir les Enfants,4
Audition,6
Audrey Rose,3
August Rush,2
Auntie Mame,16
Austenland,1
Austin Powers in Goldmember,45
Austin Powers: International Man of Mystery,107
Austin Powers: The Spy Who Shagged Me,112
Australia,4
Author! Author!,2
Auto Focus,5
Autumn Sonata,5
